[INFO] 2021-03-19 13:10:43,521 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:12:03,060 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:12:09,355 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:12:12,561 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:12:19,694 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:33:44,666 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:33:48,522 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:33:51,441 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:33:58,055 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:35:50,370 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:35:54,423 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:35:57,827 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:36:06,453 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 15:27:18,998 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:29:45,885 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:34:34,890 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:39:37,786 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:44:20,426 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:46:24,520 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 15:50:23,871 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 16:29:01,577 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 16:29:04,721 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 16:30:49,839 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 16:30:56,095 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 16:30:59,872 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 16:53:30,611 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 16:53:32,668 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 16:53:36,751 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 16:53:43,564 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 16:56:13,930 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 16:56:16,910 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 16:56:20,257 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 16:56:26,696 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 17:16:15,111 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 17:16:19,137 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 17:16:21,816 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
